Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.100Ga0.10La3Zr1.70W0.30O12,6.1,Ga,0.1,W,0.3,Ga+W,0.0,-3.3920582358143947,0.00040545416327109307
Li6.250Ga0.15La3Zr1.70Sb0.30O12,6.25,Ga,0.15,Sb,0.3,Ga+Sb,0.0,-3.394302538070809,0.00040336430357202735
Li6.350Fe0.15La3Zr1.90W0.10O12,6.35,Fe,0.15,W,0.1,Fe+W,0.0,-3.3966193005394096,0.0004012182686080061
Li6.450Ga0.15La3Zr1.90Sb0.10O12,6.45,Ga,0.15,Sb,0.1,Ga+Sb,0.0,-3.3983251878000322,0.00039964539418725956
Li6.450Ga0.15La3Zr1.90Nb0.10O12,6.45,Ga,0.15,Nb,0.1,Ga+Nb,0.0,-3.3983251878000322,0.00039964539418725956
Li6.450Ga0.15La3Zr1.90Ta0.10O12,6.45,Ga,0.15,Ta,0.1,Ga+Ta,0.0,-3.4015859399783492,0.00039665602923846224
Li6.200Ga0.20La3Zr1.80Ta0.20O12,6.2,Ga,0.2,Ta,0.2,Ga+Ta,0.0,-3.4079360645552663,0.0003908984383746684
Li6.400Ga0.10La3Zr1.70Sb0.30O12,6.4,Ga,0.1,Sb,0.3,Ga+Sb,0.0,-3.4122744118228474,0.0003870130309219924
Li6.200Ga0.20La3Zr1.80Sb0.20O12,6.2,Ga,0.2,Sb,0.2,Ga+Sb,0.0,-3.413429276548487,0.00038598526292849667
Li6.500Ga0.10La3Zr1.80Ta0.20O12,6.5,Ga,0.1,Ta,0.2,Ga+Ta,0.0,-3.4186303087634116,0.0003813903420756599
Li6.500Ga0.10La3Zr1.80Nb0.20O12,6.5,Ga,0.1,Nb,0.2,Ga+Nb,0.0,-3.421581109435988,0.0003788077804784959
Li6.200Fe0.20La3Zr1.90W0.10O12,6.2,Fe,0.2,W,0.1,Fe+W,0.0,-3.4240515782383927,0.00037665906306062617
Li6.450Ga0.10La3Zr1.75Sb0.25O12,6.45,Ga,0.1,Sb,0.25,Ga+Sb,0.0,-3.4288335568284305,0.00037253445256623963
Li6.300Fe0.20La3Zr1.90Nb0.10O12,6.3,Fe,0.2,Nb,0.1,Fe+Nb,0.0,-3.43020840802702,0.0003713569805778069
Li6.300Fe0.20La3Zr1.90Sb0.10O12,6.3,Fe,0.2,Sb,0.1,Fe+Sb,0.0,-3.43020840802702,0.0003713569805778069
Li6.150Ga0.25La3Zr1.90Nb0.10O12,6.15,Ga,0.25,Nb,0.1,Ga+Nb,0.0,-3.4316450212337806,0.000370130589374734
Li6.150Ga0.25La3Zr1.90Sb0.10O12,6.15,Ga,0.25,Sb,0.1,Ga+Sb,0.0,-3.4316450212337806,0.000370130589374734
Li6.300Fe0.20La3Zr1.90Ta0.10O12,6.3,Fe,0.2,Ta,0.1,Fe+Ta,0.0,-3.4323694130717195,0.0003695137358222989
Li6.150Al0.20La3Zr1.75Nb0.25O12,6.15,Al,0.2,Nb,0.25,Al+Nb,0.0,-3.4327392471078637,0.00036919920135089664
Li6.150Ga0.25La3Zr1.90Ta0.10O12,6.15,Ga,0.25,Ta,0.1,Ga+Ta,0.0,-3.4345126954717915,0.0003676946446226742
Li6.200Ga0.10La3Zr1.75W0.25O12,6.2,Ga,0.1,W,0.25,Ga+W,0.0,-3.4350853804889407,0.00036721010142256054
Li6.300Ga0.10La3Zr1.60Sb0.40O12,6.3,Ga,0.1,Sb,0.4,Ga+Sb,0.0,-3.436166550974403,0.0003662970735901035
