Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check
Li6.300Fe0.20La3Zr1.90Sb0.10O12,6.3,Fe,0.2,Sb,0.1,Fe+Sb,0.0
Li6.200Fe0.20La3Zr1.80Sb0.20O12,6.2,Fe,0.2,Sb,0.2,Fe+Sb,0.0
Li6.150Fe0.20La3Zr1.75Sb0.25O12,6.15,Fe,0.2,Sb,0.25,Fe+Sb,0.0
Li6.500Fe0.10La3Zr1.90W0.10O12,6.5,Fe,0.1,W,0.1,Fe+W,0.0
Li6.300Fe0.10La3Zr1.80W0.20O12,6.3,Fe,0.1,W,0.2,Fe+W,-0.0
Li6.200Fe0.10La3Zr1.75W0.25O12,6.2,Fe,0.1,W,0.25,Fe+W,0.0
Li6.100Fe0.10La3Zr1.70W0.30O12,6.1,Fe,0.1,W,0.3,Fe+W,0.0
Li6.350Fe0.15La3Zr1.90W0.10O12,6.35,Fe,0.15,W,0.1,Fe+W,0.0
Li6.150Fe0.15La3Zr1.80W0.20O12,6.15,Fe,0.15,W,0.2,Fe+W,0.0
Li6.200Fe0.20La3Zr1.90W0.10O12,6.2,Fe,0.2,W,0.1,Fe+W,0.0
Li6.600Ga0.10La3Zr1.90Nb0.10O12,6.6,Ga,0.1,Nb,0.1,Ga+Nb,0.0
Li6.500Ga0.10La3Zr1.80Nb0.20O12,6.5,Ga,0.1,Nb,0.2,Ga+Nb,0.0
Li6.450Ga0.10La3Zr1.75Nb0.25O12,6.45,Ga,0.1,Nb,0.25,Ga+Nb,0.0
Li6.400Ga0.10La3Zr1.70Nb0.30O12,6.4,Ga,0.1,Nb,0.3,Ga+Nb,0.0
Li6.300Ga0.10La3Zr1.60Nb0.40O12,6.3,Ga,0.1,Nb,0.4,Ga+Nb,0.0
Li6.200Ga0.10La3Zr1.50Nb0.50O12,6.2,Ga,0.1,Nb,0.5,Ga+Nb,0.0
Li6.450Ga0.15La3Zr1.90Nb0.10O12,6.45,Ga,0.15,Nb,0.1,Ga+Nb,0.0
Li6.350Ga0.15La3Zr1.80Nb0.20O12,6.35,Ga,0.15,Nb,0.2,Ga+Nb,0.0
Li6.300Ga0.15La3Zr1.75Nb0.25O12,6.3,Ga,0.15,Nb,0.25,Ga+Nb,0.0
Li6.250Ga0.15La3Zr1.70Nb0.30O12,6.25,Ga,0.15,Nb,0.3,Ga+Nb,0.0
Li6.150Ga0.15La3Zr1.60Nb0.40O12,6.15,Ga,0.15,Nb,0.4,Ga+Nb,0.0
Li6.300Ga0.20La3Zr1.90Nb0.10O12,6.3,Ga,0.2,Nb,0.1,Ga+Nb,0.0
Li6.200Ga0.20La3Zr1.80Nb0.20O12,6.2,Ga,0.2,Nb,0.2,Ga+Nb,0.0
Li6.150Ga0.20La3Zr1.75Nb0.25O12,6.15,Ga,0.2,Nb,0.25,Ga+Nb,0.0
Li6.150Ga0.25La3Zr1.90Nb0.10O12,6.15,Ga,0.25,Nb,0.1,Ga+Nb,0.0
Li6.600Ga0.10La3Zr1.90Ta0.10O12,6.6,Ga,0.1,Ta,0.1,Ga+Ta,0.0
Li6.500Ga0.10La3Zr1.80Ta0.20O12,6.5,Ga,0.1,Ta,0.2,Ga+Ta,0.0
Li6.450Ga0.10La3Zr1.75Ta0.25O12,6.45,Ga,0.1,Ta,0.25,Ga+Ta,0.0
Li6.400Ga0.10La3Zr1.70Ta0.30O12,6.4,Ga,0.1,Ta,0.3,Ga+Ta,0.0
Li6.300Ga0.10La3Zr1.60Ta0.40O12,6.3,Ga,0.1,Ta,0.4,Ga+Ta,0.0
Li6.200Ga0.10La3Zr1.50Ta0.50O12,6.2,Ga,0.1,Ta,0.5,Ga+Ta,0.0
Li6.450Ga0.15La3Zr1.90Ta0.10O12,6.45,Ga,0.15,Ta,0.1,Ga+Ta,0.0
Li6.350Ga0.15La3Zr1.80Ta0.20O12,6.35,Ga,0.15,Ta,0.2,Ga+Ta,0.0
Li6.300Ga0.15La3Zr1.75Ta0.25O12,6.3,Ga,0.15,Ta,0.25,Ga+Ta,0.0
Li6.250Ga0.15La3Zr1.70Ta0.30O12,6.25,Ga,0.15,Ta,0.3,Ga+Ta,0.0
Li6.150Ga0.15La3Zr1.60Ta0.40O12,6.15,Ga,0.15,Ta,0.4,Ga+Ta,0.0
Li6.300Ga0.20La3Zr1.90Ta0.10O12,6.3,Ga,0.2,Ta,0.1,Ga+Ta,0.0
Li6.200Ga0.20La3Zr1.80Ta0.20O12,6.2,Ga,0.2,Ta,0.2,Ga+Ta,0.0
Li6.150Ga0.20La3Zr1.75Ta0.25O12,6.15,Ga,0.2,Ta,0.25,Ga+Ta,0.0
Li6.150Ga0.25La3Zr1.90Ta0.10O12,6.15,Ga,0.25,Ta,0.1,Ga+Ta,0.0
Li6.600Ga0.10La3Zr1.90Sb0.10O12,6.6,Ga,0.1,Sb,0.1,Ga+Sb,0.0
Li6.500Ga0.10La3Zr1.80Sb0.20O12,6.5,Ga,0.1,Sb,0.2,Ga+Sb,0.0
Li6.450Ga0.10La3Zr1.75Sb0.25O12,6.45,Ga,0.1,Sb,0.25,Ga+Sb,0.0
Li6.400Ga0.10La3Zr1.70Sb0.30O12,6.4,Ga,0.1,Sb,0.3,Ga+Sb,0.0
Li6.300Ga0.10La3Zr1.60Sb0.40O12,6.3,Ga,0.1,Sb,0.4,Ga+Sb,0.0
Li6.450Ga0.15La3Zr1.90Sb0.10O12,6.45,Ga,0.15,Sb,0.1,Ga+Sb,0.0
Li6.350Ga0.15La3Zr1.80Sb0.20O12,6.35,Ga,0.15,Sb,0.2,Ga+Sb,0.0
