formula,sigma,log_sigma
Li1.3Ti1.7Cr0.3P3O12,3.53e-05,-4.452
Li1.3Ti1.7Fe0.3P3O12,0.001273,-3.123668528439514
Li1.3Ti1.7Ga0.3P3O12,0.000261,-3.583359492661719
Li1.3Ti1.7In0.3P3O12,0.000393,-3.4056074496245734
Li1.3Ti2Si0.3P2.7O12,0.00032,-3.494850021680094
Li1.3Y0.15Ti1.7Al0.15P3O12,1.9e-05,-4.721123199523586
Li1.3Y0.1Ti1.7Al0.2P3O12,0.00012,-3.9204093769761874
Li1.3Y0.2Ti1.7Al0.1P3O12,7.3e-05,-4.136338569939772
Li1.3Y0.3Hf1.7P3O12,3.19e-05,-4.49610465847141
Li1.3Y0.3Ti1.7P3O12,0.000554,-3.256
Li1.45Ti1.35Al0.45Ge0.2P3O12,0.00101,-2.995
Li1.45Ti1.55Al0.45P1O4,0.00029,-3.537
Li1.4Al0.4Ge1.6P3O12,0.0001825,-3.73892107536816
Li1.4Hf1.6In0.4P3O12,0.000142,-3.847355827808472
Li1.4Hf1.6Sc0.4P3O12,6.17e-05,-4.209
Li1.4La0.4Ti1.6P3O12,0.0004975,-3.302885328620141
Li1.4Lu0.4Hf1.6P3O12,2.06e-05,-4.686066389815423
Li1.4P0.6S2.2,4.64e-05,-4.333
Li1.4Sc0.4Ti1.6P3O12,0.000515,-3.2880963854794043
Li1.4Ti0.4Al0.4Ge1.2P3O12,0.000343,-3.464
Li1.4Ti0.528Al0.4Ge1.072P3O12,0.000676,-3.17
Li1.4Ti0.6Al0.4Ge1P3O12,8e-05,-4.096
Li1.4Ti0.8Al0.4Ge0.8P3O12,6e-05,-4.221
Li1.4Ti1.4Al0.4Ge0.2P3O12,0.001145,-2.9444999999999997
Li1.4Ti1.6Al0.4P3O12,0.0033,-2.4814860601221125
Li1.4Ti1.6Cr0.4P3O12,0.0001495,-3.8249068657938627
Li1.4Ti1.6Fe0.4P3O12,0.000389,-3.4098569664897713
Li1.4Ti1.6Ga0.4P3O12,0.000128,-3.8927900303521317
Li1.4Ti1.6In0.4P3O12,0.0003,-3.522
Li1.4Y0.4Hf1.6P3O12,2.09e-05,-4.679426856944473
Li1.4Y0.4Ti1.6P3O12,0.00061,-3.214
Li1.55Ti1.25Al0.55Ge0.2P3O12,7.02e-05,-4.153
Li1.5Al0.5Ge1.5P3O12,0.000308,-3.512830361305078
Li1.5Ga0.5Ge1.5P3O12,0.000117,-3.931
Li1.5Hf1.5Al0.5P3O12,0.00011,-3.958
Li1.5Hf1.5Cr0.5P3O12,1.18e-07,-6.928
Li1.5In0.5Ge1.5P3O12,5.75e-06,-5.24
Li1.5La0.5Ti1.5P3O12,0.0002815,-3.55014684004746
Li1.5Sc0.5Ge1.5P3O12,2.51e-05,-4.6
Li1.5Ti1.3Al0.5Ge0.2P3O12,0.000737,-3.132
Li1.5Ti1.5Al0.5P3O12,1.1e-05,-4.958
Li1.5Ti1.5Cr0.5P3O12,0.0003885,-3.4102063476641225
Li1.5Ti1.5Fe0.5P3O12,0.0001745,-3.7577253758587004
Li1.5Ti1.5Ga0.5P3O12,0.000122,-3.9136401693252516
Li1.5Ti1.5In0.5P3O12,0.000204,-3.6901849162870506
Li1.5Y0.5P1O4,6.68e-11,-10.1753005
Li1.5Y0.5Ti1.5P3O12,5.44e-05,-4.264
Li1.5Zn0.75P1S4,1.65e-05,-4.782516055786093
Li1.65Mn0.65In0.35Cl4,9.9e-08,-7.00436480540245
Li1.6Al0.6Ge0.8P3O12,0.0007,-3.154
Li1.6Al0.6Ge1.4P3O12,0.000212,-3.6998408299764813
Li1.6Mg0.3Ti1.7P3O12,2.8e-06,-5.552
Li1.6Ti0.4Al0.6Ge1P3O12,5e-05,-4.301
Li1.6Ti0.6Al0.6Ge0.8P3O12,0.000405,-3.5564509799928716
Li1.6Ti1.4Al0.6P3O12,2.3e-05,-4.638272163982407
Li1.6Ti1.4Cr0.6P3O12,0.000147,-3.832
Li1.6Ti1.4Ga0.6P3O12,1.3e-05,-4.886
Li1.7Al0.7Ge1.3P3O12,0.000207,-3.7006980365650843
Li1.7Fe0.7Ge1.3P3O12,2.37e-05,-4.625
Li1.7Ga0.7Ge1.3P3O12,2.43e-05,-4.614
Li1.7Ti1.3Al0.7P3O12,3.7e-05,-4.431
Li1.7Ti1.6Al0.3P3O12,0.00122,-2.9136401693252516
Li1.8Al0.8Ge1.2P3O12,0.000137,-3.8632794328435933
Li1.8Sc0.8Ti1.2P3O12,0.00088,-3.055
Li1.8Ti0.2Al0.8Ge1P3O12,3e-05,-4.522
Li1.8Ti0.4Al0.8Ge0.8P3O12,7e-05,-4.154
Li1.8Ti1.2Cr0.8P3O12,0.00024,-3.619394379144197
Li1.96Ca1.9P6Pb6.12O24,1e-10,-10.0
Li1.9Mg0.1Ti1O3.05,1.96e-07,-6.708
Li1.9Mn0.9Ga0.1Cl4,2.37e-07,-6.6252516539898965
Li10.05Ge1.05P1.95S12,0.0122,-1.9136401693252518
Li10.2Ge1.2P1.8S12,0.0132,-1.8794260687941502
Li10.2Si0.96Sn0.24P1.8S12,0.00782,-2.106793246940152
Li10.35Ge1.35P1.65S12,0.0144,-1.8416375079047504
Li10.35Si1.08Sn0.27P1.65S12,0.011,-1.958607314841775
Li10.35Si1.35P1.65S12,0.0065,-2.187043321678572
Li10.5Ge1.5P1.5S12,0.011,-1.958607314841775
Li10.5Si1.2Sn0.3P1.5S12,0.00879,-2.0560111249262283
Li10Ge(PS6)2,0.012,-1.9208187539523751
Li10Si(PS6)2,0.0023,-2.6381360819912034
Li10Si0.05Ge0.95P2S12,0.0086,-2.065250774378216
Li10Sn(PS6)2,0.0039900000000000005,-2.3985584639631563
Li10Sn0.224Ge0.776P2S12,0.0141,-1.85078088734462
Li10Sn0.33Ge0.66P2S12,0.0064,-2.193820026016113
Li10Sn0.584Ge0.416P2S12,0.00743,-2.1290111862394245
Li10Sn0.66Ge0.33P2S12,0.0048,-2.318758762624413
Li11Al(PS6)2,0.000802,-3.095
Li13.6Si2.8S1.2O16,6e-07,-6.221
Li14Nd5Si11N19O7F2,1.7e-10,-9.769551078621726
Li14Zn(GeO4)4,1e-06,-6.0
Li17Sb13S28,1.05e-09,-8.978810700930062
Li1Al0.5Ga0.5Ge1O4,1e-10,-10.0
Li1P0.9I0.1O2.7,0.000398,-3.4
Li1Ti0.4Sn1.6P3O12,3.15e-06,-5.501689446210399
Li1Ti0.6Sn1.4P3O12,9.42e-06,-5.025949097207123
Li1Ti1.4Sn0.6P3O12,2.28e-05,-4.642065152999546
Li1Zr0.2Ti1.8P3O12,8.5e-08,-7.070290537142854
Li1Zr1.5Ti0.5P3O12,6.2e-08,-7.207
Li1Zr1.8Ti0.2P3O12,5.6e-08,-7.2514059864969
Li1Zr1.9Ti0.1P3O12,3.2e-08,-7.494425010840047
Li2.1H0.9Cl1O1,8.05e-08,-7.094
Li2.2Zr0.9Zn0.1S3,0.00012,-3.92
Li2.4H0.6Cl1O1,8.9e-08,-7.05
Li2.5V2P3O12,1.9e-07,-6.721246399047171
Li2.5Y0.5Zr0.5Cl6,0.0014,-2.853871964321762
Li2.5Zn0.25P1S4,0.00084,-3.0757207139381184
Li2.667Mg0.667P2S6,4e-06,-5.3979400086720375
Li2.7H0.3Cl1O1,7.3e-09,-8.136
Li2.88P1N0.14O3.73,1.4e-13,-12.85387196216088
Li2.9Zr0.1Sc1.9P3O12,7.48e-05,-4.126
Li2Ca(HN)2,6.4e-06,-5.193
Li2CdCl4,5.8e-07,-6.236572006437063
Li2CoGe3O8,1e-10,-10.0
Li2CrCl4,1e-10,-10.0
Li2Ge7O15,5e-16,-15.30103
Li2H0.9Cl1O0.9F0.1,3.86e-05,-4.413412695328245
