Li_frac,avg_electronegativity,avg_atomic_mass,avg_atomic_radius,avg_row,avg_col,num_elements,formula,sigma,log_sigma
0.2765957446808511,2.2823404255319146,43.12143680851064,1.0925531914893616,2.8510638297872335,9.191489361702127,5,Ba1.5Li6.5La1.5Ta2O12,3.08e-05,-4.511449283499555
0.28421052631578947,2.266421052631579,42.72397463157894,1.098421052631579,2.8421052631578947,9.094736842105263,5,Ba1.75Li6.75La1.25Ta2O12,1.18e-05,-4.928117992693875
0.2916666666666667,2.2508333333333335,42.334792916666665,1.1041666666666667,2.8333333333333335,9.0,5,Ba2Li7LaTa2O12,2.85e-06,-5.54515513999149
0.06666666666666667,2.56,40.94866533333333,1.0266666666666666,3.0,10.799999999999999,5,Ba2LiTi2NbO9,1e-07,-7.0
0.025,2.7380000000000004,48.580295,0.9175,2.975,12.700000000000001,6,Ba3LiZrTa5(Si2O13)2,1e-10,-10.0
0.16666666666666666,2.609166666666667,27.096027,0.9375,2.5,12.166666666666668,4,BaLi2P2O7,1.59881e-17,-16.796203144042632
0.2608695652173913,2.323913043478261,36.2865,1.0804347826086955,2.782608695652174,9.391304347826086,5,BaLi6La2Nb2O12,6e-06,-5.221424374808178
0.2608695652173913,2.3152173913043477,43.94228260869565,1.0804347826086955,2.8695652173913047,9.391304347826086,5,BaLi6La2Ta2O12,2.25e-05,-4.647
0.18,2.6668000000000003,35.982986000000004,0.955,2.6399999999999997,12.8,4,K0.1Li0.9Sb1O3,1.36e-08,-7.866461091629782
0.24444444444444444,2.36,35.89980788888889,1.066111111111111,2.7777777777777777,9.6,5,K0.25Li5.5La2.75Nb2O12,1.06e-05,-4.974347067367615
0.06,2.7056,20.691976771199997,0.883,2.4,13.399999999999999,6,KNa2Li3Fe2(Si2O5)6,1e-10,-10.0
0.022564102564102562,2.683723076923077,36.304102433846154,0.9504615384615382,2.8666666666666667,11.928205128205128,5,Li0.022La0.115Ti0.165Al0.055O0.618,0.000525,-3.28
0.022587268993839834,2.695718685831622,37.375342842505134,0.9528747433264888,2.9086242299794662,11.533880903490761,5,Li0.022La0.117Ti0.208Al0.001O0.626,0.00126,-2.899
0.022564102564102562,2.7040410256410254,37.251789758358974,0.9493333333333334,2.8984615384615386,11.614358974358973,5,Li0.022La0.118Ti0.2Al0.004O0.631,0.000891,-3.049
0.010638297872340425,2.7487234042553195,51.639639468085115,0.9712765957446808,3.085106382978723,11.489361702127658,5,Li0.05La0.65Mg0.5W0.5O3,1.8e-07,-6.7447274948966935
0.014264424100489675,2.681554183521397,39.4016933787524,0.9663934426229508,2.9708324462422824,11.459868000851609,4,Li0.067La0.64Ti1O2.99,7.9e-05,-4.102
0.013720557969357419,2.8179967985364742,42.2589645803796,0.9026640750057169,2.972330208095129,12.348273496455523,4,Li0.06La0.313Nb1O3,2.33e-05,-4.632
0.012738853503184712,2.6822929936305733,39.538741510828025,0.9662420382165604,2.968152866242038,11.579617834394904,5,Li0.06La0.66Ti0.93Al0.06O3,1.68e-06,-5.774
0.01840909090909091,2.6701353305785123,40.32502445867769,0.9773006198347107,2.996425619834711,11.526652892561984,5,Li0.0891La0.57Ti1Ag0.1809O3,2e-07,-6.698970004336019
0.01694915254237288,2.678474576271187,39.26270779661017,0.966949152542373,2.9661016949152543,11.440677966101696,4,Li0.08La0.64Ti1O3,0.000335,-3.474955192963155
0.020487138629638062,2.8093557933075344,41.79777541770999,0.9040177555201456,2.958798087867061,12.292055542909173,4,Li0.09La0.303Nb1O3,3.52e-05,-4.453
0.02320675105485232,2.733291139240506,50.705623649789025,0.9732067510548524,3.0590717299578056,11.392405063291138,5,Li0.11La0.63Mg0.5W0.5O3,6.8e-06,-5.167491087293763
0.027210884353741496,2.801950113378685,41.27439598639455,0.9046485260770973,2.943310657596372,12.242630385487528,4,Li0.12La0.29Nb1O3,4.25e-05,-4.371
0.02789256198347108,2.661126033057851,39.367884276859506,0.9758780991735538,2.9679752066115705,11.431818181818183,5,Li0.135La0.57Ti1Ag0.135O3,2.3e-05,-4.638272163982407
0.029411764705882356,2.7256722689075628,50.24450239495798,0.9741596638655462,3.046218487394958,11.34453781512605,5,Li0.14La0.62Mg0.5W0.5O3,1.2e-05,-4.920818753952375
0.029411764705882356,2.6636974789915966,38.43662424369748,0.9689075630252101,2.9411764705882355,11.34453781512605,4,Li0.14La0.62Ti1O3,0.000442,-3.354577730650908
0.03383713061132416,2.7923076923076926,40.8878813467178,0.9066884728175051,2.9321001579066097,12.181141439205955,4,Li0.15La0.283Nb1O3,3.85e-05,-4.414
0.03118503118503118,2.6493762993762995,38.55533076715176,0.9733887733887733,2.933471933471933,11.534303534303533,5,Li0.15La0.66Ti0.85Al0.15O3,9.66e-06,-5.015
0.03737603305785124,2.65211673553719,38.41074409504132,0.9744555785123967,2.93952479338843,11.336983471074381,5,Li0.1809La0.57Ti1Ag0.0891O3,0.0001,-4.0
0.04042218728946777,2.783898495396362,40.43906429598024,0.9080058387603862,2.918931057713901,12.126431619133168,4,Li0.18La0.273Nb1O3,3.82e-05,-4.417
